ticker,longName,sector,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,debtToEquity,returnOnEquity,score
AAPL,Apple Inc.,Technology,2976629129216,31.45238,23.844763,,44.648487,145.0,1.3652,35
MSFT,Microsoft Corporation,Technology,2887729545216,31.351896,25.983278,,9.541412,33.998,0.34291,35
NVDA,NVIDIA Corporation,Technology,2706691850240,37.731293,26.924759,,34.227093,12.946,1.1917701,35
TSLA,"Tesla, Inc.",Consumer Cyclical,811333058560,123.64677,77.85166,,11.12559,18.489,0.1042,0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,1961914400768,33.430378,30.060162,,6.848051,54.342,0.24290001,35
